case:concept:name|concept:name|start_timestamp|time:timestamp|partner|costs
12|be019 [Transportation] (17dttoh)|2022-05-11 01:52:01.442003|2022-05-11 02:59:39.056368|None|{'material': 0.0, 'personal': 0.0, 'transport': 118.72718739958259, 'vertrieb': 0.0, 'equipment': 0.0}
12|be018 [AC_Adjust] (17ez51n)|2022-05-16 18:49:00.833940|2022-05-16 19:44:34.100454|None|{'material': 0.0, 'personal': 15.319896958484934, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be018 [Fix] (1khv966)|2022-05-16 19:50:21.984909|2022-05-16 20:51:55.071018|None|{'material': 0.0, 'personal': 18.402442255557503, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be020 [Transportation] (12hhf5x)|2022-05-11 02:59:39.164368|2022-05-11 04:02:15.332308|None|{'material': 0.0, 'personal': 0.0, 'transport': 100.12199328095464, 'vertrieb': 0.0, 'equipment': 0.0}
12|be019 [AC_Adjust] (1qemd4m)|2022-05-16 18:49:00.833940|2022-05-16 19:48:59.008934|None|{'material': 0.0, 'personal': 13.107266029221556, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be019 [Fix] (05jz7a1)|2022-05-16 19:54:11.185758|2022-05-16 20:57:09.980409|None|{'material': 0.0, 'personal': 17.293981185090164, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be021 [Transportation] (1di9wod)|2022-05-11 04:02:15.440308|2022-05-11 05:07:53.946674|None|{'material': 0.0, 'personal': 0.0, 'transport': 103.40514254953895, 'vertrieb': 0.0, 'equipment': 0.0}
12|be020 [AC_Adjust] (0wt6kuc)|2022-05-16 18:49:00.833940|2022-05-16 19:45:14.716062|None|{'material': 0.0, 'personal': 18.298568918274473, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be020 [Fix] (1pdn5qw)|2022-05-16 19:51:28.271395|2022-05-16 20:41:58.394765|None|{'material': 0.0, 'personal': 13.103718798172666, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be022 [Transportation] (02r9vu4)|2022-05-11 05:07:54.054674|2022-05-11 06:10:44.278182|None|{'material': 0.0, 'personal': 0.0, 'transport': 92.1275318183212, 'vertrieb': 0.0, 'equipment': 0.0}
12|be021 [AC_Adjust] (15ute94)|2022-05-16 18:49:00.833940|2022-05-16 19:48:12.780107|None|{'material': 0.0, 'personal': 15.96620253673813, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be021 [Fix] (0q0301q)|2022-05-16 19:54:27.724392|2022-05-16 20:52:25.301146|None|{'material': 0.0, 'personal': 18.772970147582562, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be023 [Transportation] (19pabpl)|2022-05-11 06:10:44.386182|2022-05-11 07:13:34.449447|None|{'material': 0.0, 'personal': 0.0, 'transport': 98.10244530338197, 'vertrieb': 0.0, 'equipment': 0.0}
12|be022 [AC_Adjust] (0vvluzm)|2022-05-16 18:49:00.833940|2022-05-16 19:50:53.050902|None|{'material': 0.0, 'personal': 19.811717499466106, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be022 [Fix] (17b50pu)|2022-05-16 19:57:02.022008|2022-05-16 20:56:02.647819|None|{'material': 0.0, 'personal': 13.391977619008255, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be023 [AC_Adjust] (19wkg03)|2022-05-16 18:49:00.833940|2022-05-16 19:48:09.707353|None|{'material': 0.0, 'personal': 16.159334845547093, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be023 [Fix] (0x4q7kw)|2022-05-16 19:54:23.782714|2022-05-16 20:57:01.715904|None|{'material': 0.0, 'personal': 17.916152740271347, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12| (End)|2022-05-16 21:08:25.360980|2022-05-16 21:08:25.396980||{'total': 0.0}
13|start (03s352c)|2022-05-10 09:24:06.096140|2022-05-10 09:24:06.132140|None|{'total': 0.0}
13|be001 [Transportation] (1arizjy)|2022-05-10 09:24:06.240140|2022-05-10 10:33:54.180240|None|{'material': 0.0, 'personal': 0.0, 'transport': 108.27119140785165, 'vertrieb': 0.0, 'equipment': 0.0}
13|be002 [Transportation] (168fptf)|2022-05-10 09:24:06.240140|2022-05-10 10:33:48.453133|None|{'material': 0.0, 'personal': 0.0, 'transport': 97.54984638430344, 'vertrieb': 0.0, 'equipment': 0.0}
13|be001 [Form] (1mjnx0a)|2022-05-10 10:33:54.288240|2022-05-10 20:40:42.576310|None|{'material': 39.07425803290063, 'personal': 58.8003151087339, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be001 [Reinforce] (13yzgaq)|2022-05-10 21:46:49.356000|2022-05-10 23:15:43.548241|None|{'material': 11.797394270768896, 'personal': 60.59196580556903, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be003 [Transportation] (1f972w1)|2022-05-10 10:33:54.360240|2022-05-10 11:39:11.709537|None|{'material': 0.0, 'personal': 0.0, 'transport': 101.54079991331162, 'vertrieb': 0.0, 'equipment': 0.0}
13|be001 [Concrete] (13eiy6v)|2022-05-11 00:15:11.205615|2022-05-12 21:35:09.639260|None|{'material': 88.09754551042975, 'personal': 66.01830275695524, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be0045 [Transportation] (1xoqapy)|2022-05-10 11:39:11.817537|2022-05-10 12:45:52.975209|None|{'material': 0.0, 'personal': 0.0, 'transport': 122.27701785811463, 'vertrieb': 0.0, 'equipment': 0.0}
13|be002 [Form] (0iiaqxn)|2022-05-12 21:35:09.819260|2022-05-13 07:31:25.822889|None|{'material': 39.43344654823677, 'personal': 76.7585937925314, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be003 [Form] (0iuggzz)|2022-05-12 21:35:09.819260|2022-05-13 06:43:36.770515|None|{'material': 37.296328006802, 'personal': 70.11864947877113, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be006 [Transportation] (02kxxij)|2022-05-10 12:45:53.083209|2022-05-10 13:48:03.374955|None|{'material': 0.0, 'personal': 0.0, 'transport': 90.4964760158718, 'vertrieb': 0.0, 'equipment': 0.0}
13|be002 [Reinforce] (1lhgiq1)|2022-05-13 08:31:28.176864|2022-05-13 09:50:42.414279|None|{'material': 13.238976907266249, 'personal': 67.77562617278825, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be003 [Reinforce] (0m0k0jc)|2022-05-13 07:43:55.810419|2022-05-13 08:57:45.090438|None|{'material': 12.520305270171274, 'personal': 57.231836021949015, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be002 [Concrete] (0fww053)|2022-05-13 10:49:38.917675|2022-05-14 23:42:29.773639|None|{'material': 96.95113630794992, 'personal': 72.0133302117372, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be003 [Concrete] (14125li)|2022-05-13 09:53:31.210890|2022-05-15 15:39:44.480514|None|{'material': 98.28914060946167, 'personal': 69.41832289644152, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be008 [Transportation] (1t4z8pm)|2022-05-10 13:48:03.482955|2022-05-10 14:49:56.476704|None|{'material': 0.0, 'personal': 0.0, 'transport': 105.94367561394127, 'vertrieb': 0.0, 'equipment': 0.0}
13|be009 [Transportation] (0ailuot)|2022-05-10 14:49:56.584704|2022-05-10 15:52:35.280477|None|{'material': 0.0, 'personal': 0.0, 'transport': 79.35364054720904, 'vertrieb': 0.0, 'equipment': 0.0}
13|be006 [AC_Adjust] (0lc3qvm)|2022-05-15 15:39:44.732514|2022-05-15 16:40:27.359776|None|{'material': 0.0, 'personal': 15.73272462402482, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be0045 [AC_Adjust] (0yu3ix4)|2022-05-15 15:39:44.732514|2022-05-15 16:42:11.965363|None|{'material': 0.0, 'personal': 16.578663508049086, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be010 [Transportation] (0e512lu)|2022-05-10 15:52:35.388477|2022-05-10 16:58:56.455441|None|{'material': 0.0, 'personal': 0.0, 'transport': 108.04778513675424, 'vertrieb': 0.0, 'equipment': 0.0}
13|be006 [Fix] (148puw4)|2022-05-15 16:46:13.965637|2022-05-15 17:47:29.035263|None|{'material': 0.0, 'personal': 18.446198479128473, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be0045 [Fix] (0lfh694)|2022-05-15 16:47:37.050481|2022-05-15 17:48:37.664721|None|{'material': 0.0, 'personal': 16.06798262445463, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be011 [Transportation] (0sw9g98)|2022-05-10 16:58:56.563441|2022-05-10 18:07:44.802923|None|{'material': 0.0, 'personal': 0.0, 'transport': 99.35404046707339, 'vertrieb': 0.0, 'equipment': 0.0}
13|be010 [AC_Adjust] (1f4m7i4)|2022-05-15 17:54:40.947446|2022-05-15 18:55:25.107465|None|{'material': 0.0, 'personal': 16.89711159736421, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be009 [AC_Adjust] (16usk1d)|2022-05-15 17:54:40.947446|2022-05-15 18:57:30.492569|None|{'material': 0.0, 'personal': 16.51264773084102, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be008 [AC_Adjust] (0p135hb)|2022-05-15 17:54:40.947446|2022-05-15 18:51:06.507625|None|{'material': 0.0, 'personal': 16.184271512014643, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be012 [Transportation] (0ef9ec3)|2022-05-10 18:07:44.910923|2022-05-10 19:12:51.663699|None|{'material': 0.0, 'personal': 0.0, 'transport': 88.90536827790542, 'vertrieb': 0.0, 'equipment': 0.0}
13|be010 [Fix] (1rhfk1b)|2022-05-15 19:01:32.811959|2022-05-15 19:59:08.865218|None|{'material': 0.0, 'personal': 14.457781893248653, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be009 [Fix] (0ov7zmi)|2022-05-15 19:03:58.077845|2022-05-15 20:03:01.054821|None|{'material': 0.0, 'personal': 17.539923808300067, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be008 [Fix] (0aidik3)|2022-05-15 18:56:54.666856|2022-05-15 19:56:23.874266|None|{'material': 0.0, 'personal': 16.12542594315365, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be013 [Transportation] (18ywiz5)|2022-05-10 19:12:51.771699|2022-05-10 20:21:15.565306|None|{'material': 0.0, 'personal': 0.0, 'transport': 86.0392723935219, 'vertrieb': 0.0, 'equipment': 0.0}
13|be011 [AC_Adjust] (1cjihaa)|2022-05-15 20:08:55.278630|2022-05-15 21:07:40.077417|None|{'material': 0.0, 'personal': 18.971784780306542, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be012 [AC_Adjust] (0qdjcig)|2022-05-15 20:08:55.278630|2022-05-15 21:10:14.898975|None|{'material': 0.0, 'personal': 15.893528169182261, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be014 [Transportation] (1pvwqs0)|2022-05-10 20:21:15.673306|2022-05-10 21:24:18.614588|None|{'material': 0.0, 'personal': 0.0, 'transport': 118.80462957520177, 'vertrieb': 0.0, 'equipment': 0.0}
13|be011 [Fix] (12zfp1a)|2022-05-15 21:13:41.126743|2022-05-15 22:12:52.061093|None|{'material': 0.0, 'personal': 18.1347905180829, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be012 [Fix] (1laiyry)|2022-05-15 21:16:15.536747|2022-05-15 22:12:32.825595|None|{'material': 0.0, 'personal': 16.38730133806799, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be013 [AC_Adjust] (1t2w2f6)|2022-05-15 20:08:55.278630|2022-05-15 21:08:48.586191|None|{'material': 0.0, 'personal': 13.167032343689957, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be013 [Fix] (0dde9j3)|2022-05-15 21:14:22.425125|2022-05-15 22:14:46.920434|None|{'material': 0.0, 'personal': 13.714015873593105, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be015 [Transportation] (0sbtnfs)|2022-05-10 21:24:18.722588|2022-05-10 22:33:12.753926|None|{'material': 0.0, 'personal': 0.0, 'transport': 104.32767522249432, 'vertrieb': 0.0, 'equipment': 0.0}
13|be014 [AC_Adjust] (142amyw)|2022-05-15 20:08:55.278630|2022-05-15 21:16:47.985921|None|{'material': 0.0, 'personal': 15.116122876725443, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be014 [Fix] (11t8e6c)|2022-05-15 21:22:34.348950|2022-05-15 22:29:34.293563|None|{'material': 0.0, 'personal': 14.823627939107192, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be016 [Transportation] (1fl9lbh)|2022-05-10 22:33:12.861926|2022-05-10 23:36:59.252382|None|{'material': 0.0, 'personal': 0.0, 'transport': 111.09113993826318, 'vertrieb': 0.0, 'equipment': 0.0}
13|be017 [Transportation] (0xpwpmn)|2022-05-10 23:36:59.360382|2022-05-11 00:43:06.942767|None|{'material': 0.0, 'personal': 0.0, 'transport': 95.50906900229808, 'vertrieb': 0.0, 'equipment': 0.0}
13|be015 [AC_Adjust] (0vi1myl)|2022-05-15 22:35:14.240901|2022-05-15 23:36:58.286184|None|{'material': 0.0, 'personal': 12.397868632512495, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be016 [AC_Adjust] (0efv0hq)|2022-05-15 22:35:14.240901|2022-05-15 23:31:31.872362|None|{'material': 0.0, 'personal': 16.404631850539282, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be015 [Fix] (182rs14)|2022-05-15 23:42:46.864408|2022-05-16 00:37:15.730432|None|{'material': 0.0, 'personal': 13.858510839868641, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be016 [Fix] (05lycpx)|2022-05-15 23:38:06.702990|2022-05-16 00:37:21.623628|None|{'material': 0.0, 'personal': 11.399158767431357, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be018 [Transportation] (0b2p3a7)|2022-05-11 00:43:07.050767|2022-05-11 01:48:45.609965|None|{'material': 0.0, 'personal': 0.0, 'transport': 102.48438483098843, 'vertrieb': 0.0, 'equipment': 0.0}
13|be017 [AC_Adjust] (0ck7v5n)|2022-05-15 22:35:14.240901|2022-05-15 23:36:17.509969|None|{'material': 0.0, 'personal': 15.38929011549394, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be017 [Fix] (1jgte7u)|2022-05-15 23:42:10.116949|2022-05-16 00:40:48.730836|None|{'material': 0.0, 'personal': 13.784868494006837, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be019 [Transportation] (17dttoh)|2022-05-11 01:48:45.717965|2022-05-11 02:54:24.621168|None|{'material': 0.0, 'personal': 0.0, 'transport': 98.8221449417614, 'vertrieb': 0.0, 'equipment': 0.0}
13|be018 [AC_Adjust] (17ez51n)|2022-05-15 22:35:14.240901|2022-05-15 23:34:36.175781|None|{'material': 0.0, 'personal': 17.49504161856971, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
13|be018 [Fix] (1khv966)|2022-05-15 23:40:57.602748|2022-05-16 00:44:14.666185|None|{'material': 0.0, 'personal': 14.429446404447026, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
